176 distinct item(s) named in run/calibration.jsonl
judge granite4:7b-a1b-h@566b725534ea quant=Q4_K_M
  [1/176] 006aa8b658804b79b150ff3b548d28a9: supported
  [2/176] 00f1bb404e6340f59081c22e8a4a7d28: supported
  [3/176] 039bf4b1078d4ce1bf1e3a42e6c02054: supported
  [4/176] 0463f5e31535448ca1a9bcf4b6e6e27d: supported
  [5/176] 05330d4d68b840ac81d6dc16e7dda64b: supported
  [6/176] 054e48dc01944bceac46eac86ca097de: supported
  [7/176] 05fa502572d7410f9c9afc727328357e: supported
  [8/176] 07843c2b7ace4320b8802ddeafa0deff: supported
  [9/176] 0a6144ea1016473499d452733a418d8a: supported
  [10/176] 0b39cb8fb28d461bbe9294c9b5c8c66d: supported
  [11/176] 0d6cae65e40d4dd69015c40f8b430fd4: supported
  [12/176] 0e355a475dc44d76836007eb6902f91e: supported
  [13/176] 0e44bf8ebe2045b08381d43e401448a7: supported
  [14/176] 0e5bca163a924b7bb0954af25b865d80: supported
  [15/176] 0f2a344afa2647e28869b4c6edee85b1: supported
  [16/176] 0f6c10794ff74217afa1739190500554: supported
  [17/176] 0fcdfb7712084ea1b5b2b375d997c15d: supported
  [18/176] 124f72132e15479cb8c5f32faefa7922: supported
  [19/176] 12aaaebd6940491b9e725b51dc2542b1: supported
  [20/176] 15eee484c6de494d8b8589c73b6e34fa: supported
  [21/176] 1a6c63991aa944368e9b84428b509b1d: not_supported
  [22/176] 1a9bf3ab8fa549b79cd55a1c7e032945: supported
  [23/176] 1ae318212a0e41b1b40b6a59ac92b78d: supported
  [24/176] 1bc4d81e1ba44488836e9f5257af2e89: supported
  [25/176] 1ceef22f206c40d5980bb142c377a6c3: supported
  [26/176] 1eda9cf07fb247bca140fd755c730ca9: supported
  [27/176] 20370bcf85754530a5b32768bc5a0ecb: supported
  [28/176] 22e69eee2749437bb7e6b6ff816bf3b1: supported
  [29/176] 2355ecc426ce4f63b94f90d45e107504: supported
  [30/176] 24313c05b17548d1b0a7c8f5ce8485c8: not_supported
  [31/176] 26d45273096e4b43b774b9334870f3be: supported
  [32/176] 2799de0d287b4bd39397edb6fb58c63a: supported
  [33/176] 282fda9b9d7d4ff4948b65bc9abdb01b: supported
  [34/176] 2b3dea19b9394dcfb252fbdea5ec34ba: supported
  [35/176] 329080c8d28840a598b9641427ba58c4: supported
  [36/176] 33bd03cee504400782721dbbdba3f70a: supported
  [37/176] 3432405d72344da69d256dbcc787e973: not_supported
  [38/176] 3caa8b394992467cb745d4f95ab0cb94: supported
  [39/176] 3d43dc17f99a421b8f4799e4022d2933: supported
  [40/176] 3d496e2e29c343978e23351ef5890f2f: supported
  [41/176] 3e227e5e72c54fd89513618a791fc5b2: supported
  [42/176] 404c72ef4d2043a29aeb85597ce99dca: supported
  [43/176] 42383f230a994ff7bcab58542a86a0b1: supported
  [44/176] 42f8eed3e85349dd9a8d06d013682fd0: supported
  [45/176] 438254b276be4be58e345138fdb6241c: supported
  [46/176] 445749f533d5403abe344093a87ce966: supported
  [47/176] 45b5fa430b6e42658abc3d687647c8de: supported
  [48/176] 47889dd81fa04d7db3b022253e88c9a3: supported
  [49/176] 4bb77f152cfc46a3ba5544b0ffdf59f6: supported
  [50/176] 4bd0a9bea97048639ec6df608149fd5b: supported
  [51/176] 4cd289f6145e47f5b6637ea15bd1732b: supported
  [52/176] 4cdd8aca49bb4ce89ad114e2a71417b8: supported
  [53/176] 4d6beb08dc354642a1e06171597ba99c: supported
  [54/176] 4dcd4a049fae4cca87f052584ce68ea8: supported
