item_id,system_id,correct
000f7eb997c349e6a151320ac59ce286,bm25/1024-128/k3,1
000f7eb997c349e6a151320ac59ce286,bm25/1024-128/k5,1
000f7eb997c349e6a151320ac59ce286,bm25/1024-128/k10,1
000f7eb997c349e6a151320ac59ce286,dense/1024-128/k3,1
000f7eb997c349e6a151320ac59ce286,dense/1024-128/k5,1
000f7eb997c349e6a151320ac59ce286,dense/1024-128/k10,1
000f7eb997c349e6a151320ac59ce286,bm25/512-128/k3,1
000f7eb997c349e6a151320ac59ce286,bm25/512-128/k5,1
000f7eb997c349e6a151320ac59ce286,bm25/512-128/k10,1
000f7eb997c349e6a151320ac59ce286,dense/512-128/k3,1
000f7eb997c349e6a151320ac59ce286,dense/512-128/k5,1
000f7eb997c349e6a151320ac59ce286,dense/512-128/k10,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/1024-128/k3,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/1024-128/k5,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/1024-128/k10,1
0018ad52002943bd80fe58f9ae79c4e0,dense/1024-128/k3,1
0018ad52002943bd80fe58f9ae79c4e0,dense/1024-128/k5,1
0018ad52002943bd80fe58f9ae79c4e0,dense/1024-128/k10,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/512-128/k3,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/512-128/k5,1
0018ad52002943bd80fe58f9ae79c4e0,bm25/512-128/k10,1
0018ad52002943bd80fe58f9ae79c4e0,dense/512-128/k3,1
0018ad52002943bd80fe58f9ae79c4e0,dense/512-128/k5,1
0018ad52002943bd80fe58f9ae79c4e0,dense/512-128/k10,1
0053e7d27caa442a81b2d5782b31416d,bm25/1024-128/k3,0
0053e7d27caa442a81b2d5782b31416d,bm25/1024-128/k5,1
0053e7d27caa442a81b2d5782b31416d,bm25/1024-128/k10,1
0053e7d27caa442a81b2d5782b31416d,dense/1024-128/k3,0
0053e7d27caa442a81b2d5782b31416d,dense/1024-128/k5,1
0053e7d27caa442a81b2d5782b31416d,dense/1024-128/k10,1
0053e7d27caa442a81b2d5782b31416d,bm25/512-128/k3,1
0053e7d27caa442a81b2d5782b31416d,bm25/512-128/k5,1
0053e7d27caa442a81b2d5782b31416d,bm25/512-128/k10,1
0053e7d27caa442a81b2d5782b31416d,dense/512-128/k3,0
0053e7d27caa442a81b2d5782b31416d,dense/512-128/k5,0
0053e7d27caa442a81b2d5782b31416d,dense/512-128/k10,0
006aa8b658804b79b150ff3b548d28a9,bm25/1024-128/k3,1
006aa8b658804b79b150ff3b548d28a9,bm25/1024-128/k5,1
006aa8b658804b79b150ff3b548d28a9,bm25/1024-128/k10,1
006aa8b658804b79b150ff3b548d28a9,dense/1024-128/k3,1
006aa8b658804b79b150ff3b548d28a9,dense/1024-128/k5,1
006aa8b658804b79b150ff3b548d28a9,dense/1024-128/k10,1
006aa8b658804b79b150ff3b548d28a9,bm25/512-128/k3,1
006aa8b658804b79b150ff3b548d28a9,bm25/512-128/k5,1
006aa8b658804b79b150ff3b548d28a9,bm25/512-128/k10,1
006aa8b658804b79b150ff3b548d28a9,dense/512-128/k3,1
006aa8b658804b79b150ff3b548d28a9,dense/512-128/k5,1
